TARGET PRICE DATABASE,,,,,,,,,
GROUP,INSTRUMENT,TRADE TYPE,AMOUNT WANTED,POSITION SIZE,MARKET PRICE,TARGET PRICE,PIPS,PROFIT,DATE & TIME
METAL,XAUUSD,LONG,100,0.05,2000,2020,2000,100,Apr 26 2023,17:12:24
CURRENCY,EURUSD,SHORT,1000,0.05,1.10257,0.90257,20000,1000,Apr 26 2023,17:12:24
METAL,XAUUSD,LONG,20,0.05,1975,1979,400,20,Fri May 19 15:44:08 2023

METAL,XAUUSD,SHORT,100,0.05,2000,1980,2000,100,Fri May 19 15:44:49 2023

INDEX,SPX,SHORT,100,1,4400,4390,100,100,Sun Jul 09 07:33:43 2023

METAL,XAUUSD,SHORT,25,0.05,1929,1924,500,25,Sun Jul 09 11:48:15 2023

METAL,XAUUSD,SHORT,2,0,-1,-inf,inf,2,Sun Jul 09 11:54:34 2023

METAL,XAUUSD,SHORT,2,0.01,1925.75,1923.75,200,2,Sun Jul 09 11:55:06 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27841,1.27791,50,0.5,Wed Aug 02 14:10:22 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.27841,1.28041,200,2,Wed Aug 02 14:10:51 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27194,1.27144,50,0.5,Wed Aug 02 21:46:15 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.27187,1.27387,200,2,Wed Aug 02 21:47:07 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27187,1.27137,50,0.5,Thu Aug 03 05:39:00 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27001,1.26951,50,0.5,Thu Aug 03 10:37:37 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.27001,1.27201,200,2,Thu Aug 03 10:38:05 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27005,1.26955,50,0.5,Thu Aug 03 10:45:25 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.27005,1.27205,200,2,Thu Aug 03 10:46:18 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.26582,1.26532,50,0.5,Thu Aug 03 16:27:38 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.26582,1.26782,200,2,Thu Aug 03 16:28:11 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27323,1.27273,50,0.5,Fri Aug 04 08:36:39 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.27323,1.27523,200,2,Fri Aug 04 08:37:09 2023

CURRENCY,GBPUSD,SHORT,0.5,0.01,1.27238,1.27188,50,0.5,Fri Aug 04 08:58:33 2023

CURRENCY,GBPUSD,LONG,2,0.01,1.27238,1.27438,200,2,Fri Aug 04 08:59:11 2023

CURRENCY,NZDUSD,SHORT,0.2,2,2,2,0.1,0.2,Fri Aug 04 18:36:01 2023

CURRENCY,NZDUSD,SHORT,0.5,0.01,0.61198,0.61148,50,0.5,Fri Aug 04 20:29:31 2023

CURRENCY,NZDUSD,LONG,0.5,2,0.61198,0.611982,0.25,0.5,Fri Aug 04 20:30:31 2023

CURRENCY,NZDUSD,LONG,0.5,0.01,0.61198,0.61248,50,0.5,Fri Aug 04 20:31:48 2023

CURRENCY,NZDUSD,LONG,2,0.01,0.61198,0.61398,200,2,Fri Aug 04 20:32:43 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Tue Aug 08 10:11:30 2023

CURRENCY,GBPUSD,LONG,0,0,0,0,0,0,Tue Aug 08 10:11:45 2023

CURRENCY,EURUSD,LONG,5,0.01,1.09792,1.10292,500,5,Tue Aug 08 10:44:03 2023

CURRENCY,EURUSD,SHORT,20,0.01,1.09789,1.07789,2000,20,Tue Aug 08 10:45:16 2023

CURRENCY,EURUSD,LONG,20,0.01,1.09789,1.07789,2000,20,Tue Aug 08 10:47:46 2023

CURRENCY,EURUSD,LONG,0,0.01,1.0987,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:01:13 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:08:45 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:09:56 2023

CURRENCY,EURUSD,LONG,0,2,2,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:10:30 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:11:45 2023

CURRENCY,EURUSD,LONG,0,3,3,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:12:11 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:13:23 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:13:43 2023

CURRENCY,EURUSD,LONG,0,2,2,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:14:19 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,3.09279e-314,0,Tue Aug 08 12:14:35 2023

CURRENCY,EURUSD,LONG,0,7,7,8.00581e-307,60,0,Tue Aug 08 12:51:55 2023

CURRENCY,EURUSD,LONG,0,1,1,8.00581e-307,10,0,Tue Aug 08 12:54:08 2023

CURRENCY,EURUSD,LONG,0,0.01,1.00911,8.0057e-307,233,0,Tue Aug 08 13:17:19 2023

METAL,XAUUSD,SHORT,0,0.01,1978,8.0057e-307,60,0,Tue Aug 08 13:32:28 2023

CURRENCY,EURUSD,LONG,0,0.01,1.09282,8.0057e-307,50,0,Tue Aug 08 13:33:29 2023

METAL,XAUUSD,LONG,0,0.05,1978.22,1979.22,100,0,Tue Aug 08 13:39:34 2023

CURRENCY,EURUSD,SHORT,0,0.05,1.09776,1.09636,140,0,Tue Aug 08 13:43:05 2023

CURRENCY,EURUSD,SHORT,0,0.01,1.09776,1.09636,140,0,Tue Aug 08 13:50:22 2023

CURRENCY,EURUSD,SHORT,0,0.01,1.09776,1.09676,100,0,Tue Aug 08 13:51:12 2023

CURRENCY,EURUSD,SHORT,0,0.05,1.09776,1.09476,300,0,Tue Aug 08 13:52:13 2023

CURRENCY,EURUSD,LONG,0,nan,1.8892,8.0057e-307,3.09279e-314,0,Tue Aug 08 15:09:09 2023

CURRENCY,EURUSD,LONG,0,0.01,1.09823,1.10823,1000,0,Tue Aug 08 15:09:33 2023

METAL,XAUUSD,LONG,0,0.01,1980,1980.32,31.5,0,Tue Aug 08 15:34:03 2023

METAL,XAUUSD,LONG,0,8.00532e-307,1980,8.24529e-304,4.25235e-314,0,Tue Aug 08 16:14:12 2023

CURRENCY,EURUSD,LONG,0,8.00532e-307,6.38217e-304,6.38468e-304,6.38468e-304,0,Tue Aug 08 16:35:12 2023

CURRENCY,EURUSD,LONG,0,8.00532e-307,2.44396e+268,2.21478e-313,nan,0,Tue Aug 08 19:13:35 2023

CURRENCY,EURUSD,LONG,0,0.01,1.09227,1.11227,2000,0,Tue Aug 08 19:15:29 2023

FUTURES,,SHORT,0,2,2,1.98,20,0,Tue Aug 08 20:07:47 2023

CURRENCY,EURUSD,LONG,100,1,1.09887,1.09987,100,100,Tue Aug 08 20:11:58 2023

METAL,XAUUSD,LONG,0,0.01,1980,1985.83,582.5,0,Tue Aug 08 20:17:56 2023

METAL,XAUUSD,LONG,0,0.01,1980,1983,300,0,Tue Aug 08 20:20:11 2023

METAL,XAUUSD,LONG,0,0.05,1980,1980.72,72,0,Tue Aug 08 20:36:57 2023

METAL,XAUUSD,LONG,0,1,1980,1980.2,20,0,Tue Aug 08 20:45:37 2023

CURRENCY,EURUSD,LONG,0,8.00543e-307,1.24372e+265,2.21478e-313,nan,0,Wed Aug 09 17:16:37 2023

METAL,XAUUSD,LONG,10,0.01,1950,1960,1000,10,Wed Aug 09 17:17:07 2023

METAL,XAUUSD,LONG,0,8.00543e-307,1.24372e+265,2.21478e-313,5.17185e-314,0,Wed Aug 09 17:23:54 2023

METAL,XAUEUR,SHORT,0,8.00543e-307,1.24372e+265,2.21478e-313,5.17185e-314,0,Wed Aug 09 17:26:23 2023

METAL,XAUUSD,LONG,0,0.01,1980,1990,1000,0,Wed Aug 09 17:28:17 2023

CURRENCY,EURUSD,LONG,0,0.01,1.09772,1.10372,600,0,Thu Aug 10 12:00:46 2023

CURRENCY,GBPUSD,SHORT,0,0.01,1.28776,1.28716,60,0,Thu Aug 10 12:09:13 2023

METAL,XAUUSD,LONG,0,0.01,1980,1980.21,21,0,Mon Aug 14 11:06:31 2023

METAL,XAUUSD,LONG,0,0.02,1920,1923.5,350,0,Mon Aug 14 11:09:29 2023

METAL,XAUUSD,LONG,6,1,1800,1800.06,6,6,Mon Aug 14 21:47:16 2023

METAL,XAUUSD,LONG,6,0.01,1980,1981,100,6,Mon Aug 14 21:48:34 2023

METAL,XAUUSD,LONG,6,6,89,89.8,80,6,Mon Aug 14 21:49:05 2023

METAL,XAUUSD,LONG,0,1,1980,1990,1000,0,Mon Aug 14 21:50:39 2023

METAL,XAUUSD,LONG,0,1,1980,1981,100,0,Mon Aug 14 21:51:41 2023

METAL,XAUUSD,LONG,0,7,7,8.4,140,0,Mon Aug 14 21:52:01 2023

CURRENCY,GBPUSD,LONG,0,0.01,1.28881,1.30881,2000,0,Wed Aug 30 18:49:07 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 14:42:57 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 14:43:14 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 14:43:45 2023

METAL,XAUUSD,LONG,0,0,0,0,0,0,Sun Sep 24 14:54:05 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 14:58:49 2023

CURRENCY_2,USDJPY,LONG,0,0,0,0,0,0,Sun Sep 24 15:02:40 2023

CURRENCY_2,USDJPY,LONG,0,0,0,0,0,0,Sun Sep 24 15:04:27 2023

INDEX(2),US30,LONG,0,0,0,0,0,0,Sun Sep 24 15:25:16 2023

INDEX(2),US30,LONG,0,0,0,0,0,0,Sun Sep 24 15:25:48 2023

INDEX(2),US30,LONG,0,0,0,0,0,0,Sun Sep 24 15:30:29 2023

INDEX(2),US30,LONG,0,0,0,0,0,0,Sun Sep 24 15:31:24 2023

INDEX(2),US30,LONG,0,0,0,0,0,0,Sun Sep 24 15:32:45 2023

INDEX(2),US30,LONG,0,0,0,0,0,0,Sun Sep 24 15:33:05 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,0,0,Sun Sep 24 15:34:33 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,0,0,Sun Sep 24 15:35:55 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,0,0,Sun Sep 24 15:38:56 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,0,0,Sun Sep 24 15:40:05 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,0,0,Sun Sep 24 15:47:55 2023

CURRENCY_2,USDJPY,LONG,0,0,0,0,0,0,Sun Sep 24 16:13:54 2023

CURRENCY_2,USDJPY,LONG,0,0,0,0,0,0,Sun Sep 24 16:14:03 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 16:35:41 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 16:39:39 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 16:40:17 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 16:44:16 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 17:02:10 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 17:05:45 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Sep 24 17:08:34 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,0,0,Sun Sep 24 17:12:06 2023

METAL,XAUUSD,LONG,0,0,0,0,0,0,Sun Oct 15 11:06:52 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Sun Oct 15 11:09:50 2023

METAL,XAUUSD,LONG,0,0,0,0,0,0,Sun Oct 15 11:10:25 2023

CURRENCY_2,GBPJPY,LONG,0,0,0,0,0,0,Mon Oct 23 07:13:45 2023

CURRENCY_2,GBPJPY,LONG,0,0,0,0,0,0,Mon Oct 23 07:14:14 2023

CURRENCY_2,USDJPY,LONG,0,0,0,0,0,0,Mon Oct 23 07:17:07 2023

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Tue Apr 23 13:49:51 2024

CURRENCY,EURUSD,LONG,0,0,0,0,0,0,Tue Apr 23 13:53:53 2024

METAL,XAUUSD,LONG,0,0,0,0,0,0,Fri Jul 19 19:26:09 2024

METAL,XAUUSD,LONG,0,0,0,0,0,0,Fri Jul 19 19:29:49 2024

CURRENCY_2,NZDJPY,SHORT,0,0,0,0,0,0,Fri Jul 26 11:56:24 2024

CURRENCY_2,NZDJPY,SHORT,0,0,0,0,0,0,Fri Jul 26 12:02:44 2024

